gene	logFC	AveExpr	t	P.Value	adj.P.Val	B	DEG
C4b	-1.98960267493837	4.84067108251074	-14.0640040974456	1.21365113258985e-20	1.55697041060552e-18	36.6931343391712	Yes
Gdf7	-3.96159113049362	-2.65302734569154	-14.0614084441463	1.22404761329551e-20	1.55711199748466e-18	36.6846711992778	Yes
Adcy1	-3.15657159275098	2.64508487655136	-14.0196013831852	1.40447985317631e-20	1.77175133478192e-18	36.5482375472566	Yes
Tceal9	-1.02627023037275	3.85078220137701	-14.0167044252452	1.41793756459586e-20	1.77190227651231e-18	36.5387751005105	Yes
Mgp	-1.60833020709951	6.81968335943765	-14.0145544455415	1.4280094975195e-20	1.77190227651231e-18	36.5317518272396	Yes
Vdr	-4.08347553280313	-0.011756432155248	-13.9918632611343	1.53882763866378e-20	1.89388396699937e-18	36.4575903028883	Yes
Gsn	-1.05075045982324	10.0737171446653	-13.9791199218745	1.60483849912423e-20	1.95919719352763e-18	36.4159117053643	Yes
Aldh3b2	-4.50626472710611	-2.33782505034602	-13.9496090857451	1.7689228950122e-20	2.14223638277558e-18	36.3193113117479	Yes
Lrrc75b	-2.79338136878956	0.179979161203859	-13.9220269659415	1.93761266598733e-20	2.32790321727906e-18	36.22892112848	Yes
Nat8l	-2.07800133260643	1.73764721837051	-13.9188930139081	1.95778195011228e-20	2.33361442211021e-18	36.2186444497405	Yes
Lrrn2	-2.25155332836426	1.98097469457293	-13.900957656924	2.07736491970643e-20	2.45680860582156e-18	36.1598070578382	Yes
Fzd7	-1.39765852013526	3.55389553335853	-13.8854194635772	2.18692679373866e-20	2.54122455578457e-18	36.108799509005	Yes
Hamp	-7.57558105154696	-0.239120659486239	-13.8853396626038	2.1875043152988e-20	2.54122455578457e-18	36.1085374629455	Yes
Pdgfc	-1.97273766624905	1.64157303685423	-13.8837412864417	2.19910435201333e-20	2.54122455578457e-18	36.1032886270169	Yes
Dock3	-4.12511263809471	-1.13033417474429	-13.7955840722933	2.9454392300171e-20	3.37788326242416e-18	35.8132738836457	Yes
Megf6	-2.25080800750887	2.43221157196025	-13.7591122422349	3.32489677847732e-20	3.78438251372854e-18	35.6929924817905	Yes
Dpt	-1.17299722060717	6.06842420344755	-13.7375659027656	3.57193705608e-20	4.03522262350291e-18	35.6218521490004	Yes
Slc38a1	-1.95455039444505	3.64926688311723	-13.7310237203091	3.65056152977577e-20	4.0934963287219e-18	35.6002395170264	Yes
Dcn	-0.897760629544871	8.79947475573109	-13.7227339208502	3.75270924376483e-20	4.17709650971411e-18	35.5728454131935	No
Akr1b8	-1.62129947938724	1.93815977412654	-13.7081058913858	3.94006306867117e-20	4.35362589295942e-18	35.5244842515953	Yes
Zfp579	-2.3566696411659	3.5276313717603	-13.6925098321894	4.15025424987622e-20	4.52195664612781e-18	35.4728917543712	Yes
Sox5	-1.71318496762338	1.06168248993046	-13.6923730695646	4.15214674205156e-20	4.52195664612781e-18	35.4724391958002	Yes
Ucp2	-1.9269650376159	6.35398300814945	-13.6675480790133	4.51054423500275e-20	4.87718704496226e-18	35.3902505772057	Yes
Ecm1	-1.66583548807828	4.95232691575762	-13.6634353232144	4.57287285183969e-20	4.90951412986874e-18	35.3766265689508	Yes
RP24-78M9.4	-3.52783922637662	-3.26554757468445	-13.609554737333	5.47468842396525e-20	5.8363262930976e-18	35.1979351398729	Yes
Adam33	-2.10153424410616	1.86947042595398	-13.5564064019938	6.54071994132036e-20	6.9240152777418e-18	35.0212982203106	Yes
Adamts8	-3.33972199169005	0.334192210999309	-13.5130049081826	7.56551538585569e-20	7.9532480493808e-18	34.8767791062956	Yes
Lrp8	-3.257443808392	0.393799627497019	-13.478886950068	8.48406374347278e-20	8.8270560339006e-18	34.7629985547352	Yes
Gprin3	-3.74814048533075	-2.22293843930007	-13.4766290094962	8.54869268290616e-20	8.8270560339006e-18	34.7554631090235	Yes
Prkag2	-1.73151106260508	5.22808986067	-13.4758309059122	8.57165568095777e-20	8.8270560339006e-18	34.7527994302235	Yes
Cntfr	-2.73049097939253	2.08192789535426	-13.4651479902649	8.88509879330625e-20	9.08801523872095e-18	34.7171370242977	Yes
Klhdc8b	-1.06946970030226	3.05468671171941	-13.4260709279664	1.01337622450163e-19	1.02381525582973e-17	34.5865595353704	Yes
Nt5c	-0.830051948455249	2.42577707022359	-13.425747075234	1.01448202123437e-19	1.02381525582973e-17	34.5854765298934	No
Foxc1	-1.95803471762923	2.68966063843027	-13.4137667363846	1.05625810561438e-19	1.05891623859539e-17	34.5454030297405	Yes
Fam49a	-1.99499450568091	3.82094697333727	-13.3749786661464	1.20383480075261e-19	1.19892442196006e-17	34.4155297869209	Yes
Ppl	-1.25148426248165	4.21118925307237	-13.3612529451007	1.26091370056032e-19	1.24756284961321e-17	34.3695248480803	Yes
Igfbp6	-1.50914523941487	4.5761618177261	-13.3466051695886	1.32485062988487e-19	1.30231096332449e-17	34.3204020941196	Yes
Cdon	-1.70343892084572	3.30842435212639	-13.3300553508926	1.40104563772452e-19	1.36026248509357e-17	34.2648666927737	Yes
Bace2	-1.61369261295189	2.68244907588348	-13.3299010217434	1.4017766394147e-19	1.36026248509357e-17	34.2643486485911	Yes
Ahnak2	-1.43033336446357	3.90888390686854	-13.3064349306433	1.51753796264221e-19	1.46321590308776e-17	34.1855424217354	Yes
Tmem176a	-1.26352767559917	3.1505586265742	-13.2865207256599	1.62333564930895e-19	1.55531994045816e-17	34.1186076871232	Yes
Slco2a1	-1.95304554669476	2.61380121153382	-13.2485690835648	1.84607229604045e-19	1.75760015204153e-17	33.9909019056304	Yes
Plvap	-2.73511705540584	3.38232692657149	-13.2314305100803	1.95655459843302e-19	1.85114521944244e-17	33.9331691952304	Yes
RP24-337I23.1	-2.2448415326476	-0.877353714026216	-13.2278975136912	1.98014835641288e-19	1.86183141735268e-17	33.9212632009855	Yes
Ptgs1	-1.72940080931861	3.67332507497352	-13.2260248627406	1.99277058317913e-19	1.86213340050405e-17	33.9149518096145	Yes
Rpp25	-2.41254326084198	0.972059530436715	-13.1899664587256	2.25232878195618e-19	2.09176399394188e-17	33.7933343275698	Yes
Ndn	-1.19672669575791	2.6645605779037	-13.1489066395005	2.58982266537333e-19	2.39053265295253e-17	33.6546399614985	Yes
Fzd2	-1.88674737634674	1.81320692363728	-13.1374391611776	2.69291286916892e-19	2.46948281196712e-17	33.6158648223594	Yes
Sptbn5	-2.54017080523778	1.23775747293536	-13.1358003136334	2.70798088774305e-19	2.46948281196712e-17	33.6103219534742	Yes
